Time[s], Channel 0, Channel 1
7.943792, 1, 0
7.943796, 0, 1
7.943802, 1, 1
7.943806, 0, 0
7.943812, 1, 0
7.943816, 0, 0
7.943822, 1, 0
7.943826, 0, 0
7.943828, 0, 1
7.943834, 1, 1
7.943838, 0, 1
7.943844, 1, 1
7.943848, 0, 1
7.943854, 1, 1
7.943858, 0, 1
7.943864, 1, 1
7.943870, 0, 1
7.943876, 1, 1
7.943880, 0, 0
7.943886, 1, 0
7.943890, 1, 1
7.944168, 1, 0
7.944172, 0, 0
7.944178, 1, 0
7.944182, 0, 1
7.944188, 1, 1
7.944192, 0, 0
7.944198, 1, 0
7.944204, 0, 1
7.944210, 1, 1
7.944214, 0, 0
7.944220, 1, 0
7.944224, 0, 0
7.944230, 1, 0
7.944234, 0, 0
7.944240, 1, 0
7.944246, 0, 1
7.944252, 1, 1
7.944256, 0, 1
7.944262, 1, 1
7.944266, 0, 0
7.944272, 1, 0
7.944278, 1, 1
7.944554, 1, 0
7.944558, 0, 0
7.944564, 1, 0
7.944568, 0, 1
7.944574, 1, 1
7.944578, 0, 1
7.944580, 0, 0
7.944584, 1, 0
7.944590, 0, 1
7.944596, 1, 1
7.944600, 0, 0
7.944606, 1, 0
7.944610, 0, 0
7.944616, 1, 0
7.944620, 0, 0
7.944622, 0, 1
7.944626, 1, 1
7.944632, 0, 1
7.944638, 1, 1
7.944642, 0, 1
7.944648, 1, 1
7.944652, 0, 0
7.944658, 1, 0
7.944664, 1, 1
7.944940, 1, 0
7.944946, 0, 0
7.944952, 1, 0
7.944956, 0, 1
7.944962, 1, 1
7.944966, 0, 0
7.944972, 1, 0
7.944976, 0, 0
7.944978, 0, 1
7.944982, 1, 1
7.944988, 0, 0
7.944994, 1, 0
7.944998, 0, 1
7.945004, 1, 1
7.945008, 0, 0
7.945014, 1, 0
7.945018, 0, 0
7.945020, 0, 1
7.945026, 1, 1
7.945030, 0, 1
7.945036, 1, 1
7.945040, 0, 0
7.945046, 1, 0
7.945050, 1, 1
7.945326, 1, 0
7.945332, 0, 0
7.945338, 1, 0
7.945342, 0, 1
7.945348, 1, 1
7.945352, 0, 0
7.945358, 1, 0
7.945362, 0, 0
7.945364, 0, 1
7.945368, 1, 1
7.945374, 0, 0
7.945380, 1, 0
7.945384, 0, 1
7.945390, 1, 1
7.945394, 0, 1
7.945400, 1, 1
7.945404, 0, 1
7.945410, 1, 1
7.945416, 0, 1
7.945422, 1, 1
7.945426, 0, 0
7.945432, 1, 0
7.945436, 1, 1
7.945714, 1, 0
7.945718, 0, 0
7.945726, 1, 0
7.945730, 0, 1
7.945736, 1, 1
7.945740, 0, 0
7.945746, 1, 0
7.945750, 0, 1
7.945756, 1, 1
7.945762, 0, 1
7.945768, 1, 1
7.945772, 0, 0
